gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000081059,TCF7,leiden,leiden 1,0.57774458850564,2.447433362908428,0.7504244482173175,0.7698904131896425,0.539646998154132,1.7690407350636174e-117,2.575581786993822e-112
ENSG00000120708,TGFBI,leiden,leiden 4,0.4489684582998905,2.371846891096265,0.9714285714285714,0.46217341295576964,0.21179503634401223,4.278227712620017e-13,6.228757291357736e-8
ENSG00000170458,CD14,leiden,leiden 2,0.6182447657330205,5.946152467268813,0.9063231850117096,0.6821460335090432,0.7144585236335916,3.747508579367997e-151,5.456072690873454e-146
ENSG00000113263,ITK,leiden,leiden 1,0.4189679498836987,0.8293103654065058,0.4634974533106961,0.9039271885769177,0.36243388811622945,1.9833761709840544e-73,2.8876370348591045e-68
ENSG00000120129,DUSP1,leiden,leiden 2,0.6475894545279266,12.35264597967983,0.9976580796252927,0.6491096175667246,0.8255295422825292,6.352522308061537e-185,9.248764278752953e-180
ENSG00000227507,LTB,leiden,leiden 3,0.43163250897052674,15.575774353400291,0.981651376146789,0.43970040633446184,0.22945422517564604,7.149072351253171e-26,1.0408477417636517e-20
ENSG00000204482,LST1,leiden,leiden 2,0.5748329562936253,11.49139150959362,0.9953161592505855,0.5775380525585365,0.8593903361068611,3.4721354725624033e-196,5.0551514772130543e-191
ENSG00000204472,AIF1,leiden,leiden 2,0.600096784440157,19.01286611072936,1,0.600096784440157,0.897320336881369,1.9862628052467892e-209,2.8918397434149054e-204
ENSG00000196735,HLA-DQA1,leiden,leiden 3,0.4151446077640349,7.894419047553601,0.9908256880733946,0.41898853931740554,0.5301777879453946,1.7794256797352844e-61,2.5907014356401954e-56
ENSG00000241106,HLA-DOB,leiden,leiden 3,0.4704418244782046,1.0852365794205985,0.5596330275229358,0.8406255552151525,0.43190369698833964,2.6737891125218912e-49,3.892823044702872e-44
ENSG00000124813,RUNX2,leiden,leiden 4,0.5766755770867664,1.3577713919872563,0.8,0.720844471358458,0.42574206156497,2.5750548454287198e-25,3.749073850556582e-20
ENSG00000272398,CD24,leiden,leiden 3,0.50784714678994,1.3151562657059024,0.5321100917431193,0.9544023965535079,0.4499988650036033,1.6894173734311895e-51,2.4596565423259372e-46
ENSG00000135535,CD164,leiden,leiden 4,0.4440133126816398,4.020667435458186,1,0.4440133126816398,0.23961716898683827,1.1687428147947634e-14,1.701596038915992e-9
ENSG00000277443,MARCKS,leiden,leiden 2,0.5632801570744683,6.249076741023599,0.9461358313817331,0.5953480868089058,0.655437521759571,6.879081612461261e-135,1.00153925012146e-129
